# GRCh38.p14 alt loci scaffold placement relative to primary chromosomes
# Source: UCSC hg38 altSeqLiftOverPsl + NCBI GCF_000001405.40 assembly report
# Date built: 2026-03-11
#
# Columns:
#   ucsc_alt_name       UCSC-style name of the alt scaffold (matches BAM/BED naming)
#   primary_chrom       Primary chromosome this scaffold is placed on
#   primary_start       0-based start of aligned region on the primary chromosome
#   primary_end         End of aligned region on primary chromosome (half-open)
#   alt_aligned_start   0-based start of aligned region on the alt scaffold
#   alt_aligned_end     End of aligned region on alt scaffold (half-open)
#   alt_start_tail      Unaligned bases before the aligned region on the alt scaffold
#   alt_stop_tail       Unaligned bases after the aligned region on the alt scaffold
#   alt_seq_length      Full length of the alt scaffold
#   orientation         Strand of the alt scaffold relative to primary (+/-)
#   refseq_acc          RefSeq accession (matches NCBI FASTA headers)
#   genbank_acc         GenBank accession (GL/KI/KQ etc. prefix)
#   assembly_unit       NCBI assembly unit group (ALT_REF_LOCI_N)
#   coord_conversion    Linear formula: primary_pos -> alt_pos (ignores small indels;
#                       sufficient for read-overlap fetching purposes)
#                       Valid range: primary_pos in [primary_start, primary_end)
ucsc_alt_name	primary_chrom	primary_start	primary_end	alt_aligned_start	alt_aligned_end	alt_start_tail	alt_stop_tail	alt_seq_length	orientation	refseq_acc	genbank_acc	assembly_unit	coord_conversion
chr2_KI270894v1_alt	chr2	90218336	90402511	0	214158	0	0	214158	+	NT_187648.1	KI270894.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 90218336)
chr2_KI270772v1_alt	chr2	90269481	90402511	0	133041	0	0	133041	-	NT_187524.1	KI270772.1	ALT_REF_LOCI_1	alt_pos = 133041 - (primary_pos - 90269481)
chr2_MU273337v1_alt	chr2	95237896	95669507	0	431782	0	0	431782	+	.	.	.	alt_pos = 0 + (primary_pos - 95237896)
chr2_MU273337v1_alt	chr2	95447666	95629067	209767	391329	209767	40453	431782	-	.	.	.	alt_pos = 391329 - (primary_pos - 95447666)
chr2_KI270775v1_alt	chr2	115908854	116040717	0	138019	0	0	138019	+	NT_187531.1	KI270775.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 115908854)
chr2_KI270771v1_alt	chr2	116874514	116981849	0	110395	0	0	110395	+	NT_187530.1	KI270771.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 116874514)
chr2_KZ208907v1_alt	chr2	126189127	126361783	0	181658	0	0	181658	+	.	.	.	alt_pos = 0 + (primary_pos - 126189127)
chr2_MU273339v1_alt	chr2	129827758	130324004	0	500581	0	0	500581	+	.	.	.	alt_pos = 0 + (primary_pos - 129827758)
chr2_KI270768v1_alt	chr2	131697036	131806107	0	110099	0	0	110099	+	NT_187528.1	KI270768.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 131697036)
chr2_GL582966v2_alt	chr2	148934068	149024119	0	96131	0	0	96131	+	NW_003571033.2	GL582966.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 148934068)
chr2_GL383522v1_alt	chr2	168830362	168937194	0	123821	0	0	123821	+	NW_003315909.1	GL383522.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 168830362)
chr2_MU273338v1_alt	chr2	171569827	172096484	0	535251	0	0	535251	+	.	.	.	alt_pos = 0 + (primary_pos - 171569827)
chr2_KQ983256v1_alt	chr2	205890982	206421450	0	535088	0	0	535088	+	.	.	.	alt_pos = 0 + (primary_pos - 205890982)
chr2_KZ208908v1_alt	chr2	208007847	208142067	0	140361	0	0	140361	+	.	.	.	alt_pos = 0 + (primary_pos - 208007847)
chr2_KI270776v1_alt	chr2	241787902	241961305	0	174166	0	0	174166	+	NT_187527.1	KI270776.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 241787902)
chr2_KI270893v1_alt	chr2	241961305	242117508	0	161218	0	0	161218	+	NT_187647.1	KI270893.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 241961305)
chr2_KI270767v1_alt	chr2	241961305	242117508	0	161578	0	0	161578	+	NT_187523.1	KI270767.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 241961305)
chr3_JH636055v2_alt	chr3	11815267	11986497	0	173151	0	0	173151	-	NW_003871060.2	JH636055.2	ALT_REF_LOCI_1	alt_pos = 173151 - (primary_pos - 11815267)
chr3_KI270783v1_alt	chr3	20277966	20382602	0	109187	0	0	109187	+	NT_187535.1	KI270783.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 20277966)
chr3_ML143343v1_alt	chr3	75363638	75568796	0	215443	0	0	215443	+	.	.	.	alt_pos = 0 + (primary_pos - 75363638)
chr3_KZ208909v1_alt	chr3	84799967	84960626	0	175849	0	0	175849	+	.	.	.	alt_pos = 0 + (primary_pos - 84799967)
chr3_KZ559105v1_alt	chr3	112116710	112302325	0	195063	0	0	195063	+	.	.	.	alt_pos = 0 + (primary_pos - 112116710)
chr3_KI270780v1_alt	chr3	125665518	125883802	0	224108	0	0	224108	+	NT_187537.1	KI270780.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 125665518)
chr3_KZ559103v1_alt	chr3	128137811	128433766	0	302885	0	0	302885	+	.	.	.	alt_pos = 0 + (primary_pos - 128137811)
chr3_GL383526v1_alt	chr3	151589365	151759498	0	180671	0	0	180671	+	NW_003315913.1	GL383526.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 151589365)
chr3_KI270777v1_alt	chr3	154111570	154282042	0	173649	0	0	173649	-	NT_187533.1	KI270777.1	ALT_REF_LOCI_1	alt_pos = 173649 - (primary_pos - 154111570)
chr3_KI270778v1_alt	chr3	166300783	166544173	0	248252	0	0	248252	+	NT_187536.1	KI270778.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 166300783)
chr3_KZ559102v1_alt	chr3	175333209	175524240	0	197752	0	0	197752	+	.	.	.	alt_pos = 0 + (primary_pos - 175333209)
chr3_KZ559101v1_alt	chr3	176115489	176274065	0	164041	0	0	164041	+	.	.	.	alt_pos = 0 + (primary_pos - 176115489)
chr3_KI270781v1_alt	chr3	184425339	184533338	0	113034	0	0	113034	-	NT_187538.1	KI270781.1	ALT_REF_LOCI_1	alt_pos = 113034 - (primary_pos - 184425339)
chr3_KI270935v1_alt	chr3	195629503	195827492	0	197351	0	0	197351	+	NT_187689.1	KI270935.1	ALT_REF_LOCI_5	alt_pos = 0 + (primary_pos - 195629503)
chr3_KI270779v1_alt	chr3	195629503	195827492	0	205312	0	0	205312	+	NT_187532.1	KI270779.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 195629503)
chr3_KI270895v1_alt	chr3	195629503	195794735	0	162896	0	0	162896	-	NT_187649.1	KI270895.1	ALT_REF_LOCI_2	alt_pos = 162896 - (primary_pos - 195629503)
chr3_KI270934v1_alt	chr3	195629503	195794735	0	163458	0	0	163458	-	NT_187688.1	KI270934.1	ALT_REF_LOCI_4	alt_pos = 163458 - (primary_pos - 195629503)
chr3_KI270924v1_alt	chr3	195629503	195794735	0	166540	0	0	166540	-	NT_187678.1	KI270924.1	ALT_REF_LOCI_3	alt_pos = 166540 - (primary_pos - 195629503)
chr3_KI270936v1_alt	chr3	195629503	195794735	0	164170	0	0	164170	-	NT_187690.1	KI270936.1	ALT_REF_LOCI_6	alt_pos = 164170 - (primary_pos - 195629503)
chr3_KI270937v1_alt	chr3	195629503	195794735	0	165607	0	0	165607	-	NT_187691.1	KI270937.1	ALT_REF_LOCI_7	alt_pos = 165607 - (primary_pos - 195629503)
chr3_KI270782v1_alt	chr3	197397855	197558882	0	162429	0	0	162429	-	NT_187534.1	KI270782.1	ALT_REF_LOCI_1	alt_pos = 162429 - (primary_pos - 197397855)
chr3_KI270784v1_alt	chr3	198047548	198235559	0	184404	0	0	184404	-	NT_187539.1	KI270784.1	ALT_REF_LOCI_1	alt_pos = 184404 - (primary_pos - 198047548)
chr4_KQ090013v1_alt	chr4	14931449	15019028	0	90922	0	0	90922	+	.	.	.	alt_pos = 0 + (primary_pos - 14931449)
chr4_KI270790v1_alt	chr4	21521366	21734410	0	220246	0	0	220246	+	NT_187540.1	KI270790.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 21521366)
chr4_GL383528v1_alt	chr4	34517954	34883858	0	376187	0	0	376187	+	NW_003315915.1	GL383528.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 34517954)
chr4_KI270787v1_alt	chr4	55678094	55785754	0	111943	0	0	111943	+	NT_187541.1	KI270787.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 55678094)
chr4_KQ090014v1_alt	chr4	65880453	66040277	0	163749	0	0	163749	+	.	.	.	alt_pos = 0 + (primary_pos - 65880453)
chr4_GL000257v2_alt	chr4	68306358	69010457	0	586476	0	0	586476	+	NT_167250.2	GL000257.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 68306358)
chr4_KQ090015v1_alt	chr4	69959864	70191926	0	236512	0	0	236512	+	.	.	.	alt_pos = 0 + (primary_pos - 69959864)
chr4_KI270788v1_alt	chr4	120164198	120317014	0	158965	0	0	158965	+	NT_187544.1	KI270788.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 120164198)
chr4_MU273349v1_alt	chr4	151063269	151371951	0	308682	0	0	308682	+	.	.	.	alt_pos = 0 + (primary_pos - 151063269)
chr4_KV766193v1_alt	chr4	154079464	154493046	0	420675	0	0	420675	+	.	.	.	alt_pos = 0 + (primary_pos - 154079464)
chr4_GL383527v1_alt	chr4	155835377	155987264	0	164536	0	0	164536	+	NW_003315914.1	GL383527.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 155835377)
chr4_KI270785v1_alt	chr4	186920391	187048061	0	119912	0	0	119912	+	NT_187542.1	KI270785.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 186920391)
chr4_KI270789v1_alt	chr4	188341422	188542359	0	205944	0	0	205944	+	NT_187545.1	KI270789.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 188341422)
chr4_KI270925v1_alt	chr4	189361857	189907070	0	555799	0	0	555799	+	NT_187679.1	KI270925.1	ALT_REF_LOCI_3	alt_pos = 0 + (primary_pos - 189361857)
chr4_KI270786v1_alt	chr4	189666447	189907070	0	244096	0	0	244096	+	NT_187543.1	KI270786.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 189666447)
chr4_KI270896v1_alt	chr4	189666447	190041016	0	378547	0	0	378547	+	NT_187650.1	KI270896.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 189666447)
chr4_KQ983258v1_alt	chr4	189907070	190093263	0	185950	0	19457	205407	+	.	.	.	alt_pos = 0 + (primary_pos - 189907070)
chr5_KI270793v1_alt	chr5	502434	626896	0	126136	0	0	126136	-	NT_187550.1	KI270793.1	ALT_REF_LOCI_1	alt_pos = 126136 - (primary_pos - 502434)
chr5_KI270792v1_alt	chr5	981493	1161361	0	179043	0	0	179043	+	NT_187548.1	KI270792.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 981493)
chr5_KI270791v1_alt	chr5	1318298	1509772	0	195710	0	0	195710	-	NT_187547.1	KI270791.1	ALT_REF_LOCI_1	alt_pos = 195710 - (primary_pos - 1318298)
chr5_KZ208910v1_alt	chr5	3768475	3899281	0	135987	0	0	135987	+	.	.	.	alt_pos = 0 + (primary_pos - 3768475)
chr5_GL383532v1_alt	chr5	12681425	12744010	0	82728	0	0	82728	-	NW_003315920.1	GL383532.1	ALT_REF_LOCI_1	alt_pos = 82728 - (primary_pos - 12681425)
chr5_KN196477v1_alt	chr5	21098346	21230960	0	139087	0	0	139087	+	.	.	.	alt_pos = 0 + (primary_pos - 21098346)
chr5_KV575243v1_alt	chr5	21448369	21713081	0	362221	0	0	362221	+	.	.	.	alt_pos = 0 + (primary_pos - 21448369)
chr5_MU273356v1_alt	chr5	23369983	23672469	0	302485	0	0	302485	+	.	.	.	alt_pos = 0 + (primary_pos - 23369983)
chr5_GL949742v1_alt	chr5	29036497	29254469	0	226852	0	0	226852	+	NW_003571036.1	GL949742.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 29036497)
chr5_GL949742v1_alt	chr5	29069229	29069518	32683	32972	32683	193880	226852	-	NW_003571036.1	GL949742.1	ALT_REF_LOCI_1	alt_pos = 32972 - (primary_pos - 29069229)
chr5_KI270794v1_alt	chr5	33800664	33963236	0	164558	0	0	164558	+	NT_187551.1	KI270794.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 33800664)
chr5_GL339449v2_alt	chr5	69216818	71614443	0	1612928	0	0	1612928	+	NW_003315917.2	GL339449.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 69216818)
chr5_GL339449v2_alt	chr5	69625673	71015104	395740	931960	395740	680968	1612928	-	NW_003315917.2	GL339449.2	ALT_REF_LOCI_1	alt_pos = 931960 - (primary_pos - 69625673)
chr5_KI270897v1_alt	chr5	69795336	71614443	0	1144418	0	0	1144418	+	NT_187651.1	KI270897.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 69795336)
chr5_GL383530v1_alt	chr5	95169856	95254491	0	101241	0	0	101241	-	NW_003315918.1	GL383530.1	ALT_REF_LOCI_1	alt_pos = 101241 - (primary_pos - 95169856)
chr5_KI270796v1_alt	chr5	125279465	125444151	0	172708	0	0	172708	+	NT_187549.1	KI270796.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 125279465)
chr5_GL383531v1_alt	chr5	162373666	162541648	0	173459	0	0	173459	-	NW_003315919.1	GL383531.1	ALT_REF_LOCI_1	alt_pos = 173459 - (primary_pos - 162373666)
chr5_KI270795v1_alt	chr5	177865464	177993409	0	131892	0	0	131892	+	NT_187546.1	KI270795.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 177865464)
chr5_KI270898v1_alt	chr5	177865464	177996111	0	130957	0	0	130957	+	NT_187652.1	KI270898.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 177865464)
chr6_KQ090017v1_alt	chr6	13101649	13179113	0	82315	0	0	82315	+	.	.	.	alt_pos = 0 + (primary_pos - 13101649)
chr6_MU273357v1_alt	chr6	26453820	26859000	0	383128	0	0	383128	+	.	.	.	alt_pos = 0 + (primary_pos - 26453820)
chr6_MU273357v1_alt	chr6	26714943	26786743	261085	310871	261085	72257	383128	-	.	.	.	alt_pos = 310871 - (primary_pos - 26714943)
chr6_GL000251v2_alt	chr6	28510119	33383765	0	4795265	0	0	4795265	+	NT_113891.3	GL000251.2	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 28510119)
chr6_GL000256v2_alt	chr6	28691465	33480577	0	4929269	0	0	4929269	+	NT_167249.2	GL000256.2	ALT_REF_LOCI_7	alt_pos = 0 + (primary_pos - 28691465)
chr6_GL000250v2_alt	chr6	28734407	33367716	0	4672374	0	0	4672374	+	NT_167244.2	GL000250.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 28734407)
chr6_GL000254v2_alt	chr6	28734407	33391865	0	4827813	0	0	4827813	+	NT_167247.2	GL000254.2	ALT_REF_LOCI_5	alt_pos = 0 + (primary_pos - 28734407)
chr6_GL000253v2_alt	chr6	28734407	33258200	0	4677643	0	0	4677643	+	NT_167246.2	GL000253.2	ALT_REF_LOCI_4	alt_pos = 0 + (primary_pos - 28734407)
chr6_GL000252v2_alt	chr6	28734407	33361299	0	4604811	0	0	4604811	+	NT_167245.2	GL000252.2	ALT_REF_LOCI_3	alt_pos = 0 + (primary_pos - 28734407)
chr6_GL000255v2_alt	chr6	28734407	33411973	0	4606388	0	0	4606388	+	NT_167248.2	GL000255.2	ALT_REF_LOCI_6	alt_pos = 0 + (primary_pos - 28734407)
chr6_KI270758v1_alt	chr6	32385053	32454732	0	68829	0	7923	76752	-	NT_187692.1	KI270758.1	ALT_REF_LOCI_8	alt_pos = 68829 - (primary_pos - 32385053)
chr6_KI270800v1_alt	chr6	65774813	65944033	0	175808	0	0	175808	+	NT_187555.1	KI270800.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 65774813)
chr6_KI270799v1_alt	chr6	68262878	68402208	0	152148	0	0	152148	+	NT_187554.1	KI270799.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 68262878)
chr6_GL383533v1_alt	chr6	79350007	79446911	0	124736	0	0	124736	-	NW_003315921.1	GL383533.1	ALT_REF_LOCI_1	alt_pos = 124736 - (primary_pos - 79350007)
chr6_KI270801v1_alt	chr6	127654802	128521146	0	870480	0	0	870480	+	NT_187556.1	KI270801.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 127654802)
chr6_KI270802v1_alt	chr6	166220579	166285980	0	66404	0	8601	75005	+	NT_187557.1	KI270802.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 166220579)
chr6_KB021644v2_alt	chr6	168796075	168951646	0	185823	0	0	185823	+	NW_004166862.2	KB021644.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 168796075)
chr6_KI270797v1_alt	chr6	169724798	169919706	0	197536	0	0	197536	+	NT_187552.1	KI270797.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 169724798)
chr6_KI270798v1_alt	chr6	170272762	170535221	0	271782	0	0	271782	+	NT_187553.1	KI270798.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 170272762)
chr7_KI270899v1_alt	chr7	10000	198548	0	190869	0	0	190869	+	NT_187653.1	KI270899.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 10000)
chr7_KI270804v1_alt	chr7	43901	198548	0	157952	0	0	157952	+	NT_187558.1	KI270804.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 43901)
chr7_KZ559106v1_alt	chr7	9026357	9192359	0	172555	0	0	172555	+	.	.	.	alt_pos = 0 + (primary_pos - 9026357)
chr7_MU273358v1_alt	chr7	54005771	54470182	0	464417	0	0	464417	+	.	.	.	alt_pos = 0 + (primary_pos - 54005771)
chr7_MU273358v1_alt	chr7	54234014	54308393	228259	302628	228259	161789	464417	-	.	.	.	alt_pos = 302628 - (primary_pos - 54234014)
chr7_KI270809v1_alt	chr7	76500981	76722751	0	209586	0	0	209586	+	NT_187561.1	KI270809.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 76500981)
chr7_KI270806v1_alt	chr7	103086562	103242097	0	158166	0	0	158166	-	NT_187559.1	KI270806.1	ALT_REF_LOCI_1	alt_pos = 158166 - (primary_pos - 103086562)
chr7_GL383534v2_alt	chr7	141633408	141746583	0	119183	0	0	119183	+	NW_003315922.2	GL383534.2	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 141633408)
chr7_KI270803v1_alt	chr7	142038120	143088503	0	1111570	0	0	1111570	+	NT_187562.1	KI270803.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 142038120)
chr7_KZ208913v1_alt	chr7	144045426	144630931	0	680662	0	0	680662	+	.	.	.	alt_pos = 0 + (primary_pos - 144045426)
chr7_KI270808v1_alt	chr7	148214873	148487860	0	271455	0	0	271455	+	NT_187564.1	KI270808.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 148214873)
chr7_KI270807v1_alt	chr7	157697531	157820586	0	126434	0	0	126434	+	NT_187563.1	KI270807.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 157697531)
chr7_KI270805v1_alt	chr7	158267494	158477174	0	209988	0	0	209988	-	NT_187560.1	KI270805.1	ALT_REF_LOCI_1	alt_pos = 209988 - (primary_pos - 158267494)
chr8_KI270818v1_alt	chr8	718409	861641	0	145606	0	0	145606	+	NT_187572.1	KI270818.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 718409)
chr8_KI270812v1_alt	chr8	861641	1141446	0	282736	0	0	282736	+	NT_187568.1	KI270812.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 861641)
chr8_KI270901v1_alt	chr8	1141446	1280784	0	136959	0	0	136959	+	NT_187655.1	KI270901.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 1141446)
chr8_KI270811v1_alt	chr8	1280784	1586904	0	292436	0	0	292436	+	NT_187565.1	KI270811.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 1280784)
chr8_KI270900v1_alt	chr8	1389716	1709420	0	318687	0	0	318687	+	NT_187654.1	KI270900.1	ALT_REF_LOCI_2	alt_pos = 0 + (primary_pos - 1389716)
chr8_KI270926v1_alt	chr8	1586904	1816624	0	229282	0	0	229282	+	NT_187680.1	KI270926.1	ALT_REF_LOCI_3	alt_pos = 0 + (primary_pos - 1586904)
chr8_KI270821v1_alt	chr8	1816624	2817440	0	985506	0	0	985506	+	NT_187576.1	KI270821.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 1816624)
chr8_KI270813v1_alt	chr8	7308873	7617127	0	300230	0	0	300230	+	NT_187570.1	KI270813.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 7308873)
chr8_KI270822v1_alt	chr8	39094317	39873856	0	624492	0	0	624492	+	NT_187577.1	KI270822.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 39094317)
chr8_KI270814v1_alt	chr8	57173350	57303398	0	141812	0	0	141812	+	NT_187566.1	KI270814.1	ALT_REF_LOCI_1	alt_pos = 0 + (primary_pos - 57173350)
